x1,y1,x2,y2
0.000000,10.000000,-0.263880,9.593188
-0.263880,9.593188,-0.527760,9.186377
-0.527760,9.186377,-0.791641,8.779565
-0.791641,8.779565,-1.055521,8.372753
-1.055521,8.372753,-1.583281,7.559130
-1.583281,7.559130,-2.111042,6.745506
-2.111042,6.745506,-2.638802,5.931883
-2.638802,5.931883,-3.166562,5.118259
-3.166562,5.118259,-3.694323,4.304636
-3.694323,4.304636,-3.958203,3.897824
-3.958203,3.897824,-4.222083,3.491012
-4.222083,3.491012,-5.277604,1.863765
-5.277604,1.863765,-6.333125,0.236518
-6.333125,0.236518,-7.388646,-1.390728
-7.388646,-1.390728,-8.444166,-3.017975
-7.388646,-1.390728,-8.735313,-1.368755
-6.333125,0.236518,-6.835860,0.329600
-6.835860,0.329600,-7.338595,0.422681
-7.338595,0.422681,-7.841330,0.515763
-7.841330,0.515763,-8.344066,0.608844
-7.841330,0.515763,-7.979069,1.360439
-7.979069,1.360439,-8.116808,2.205115
-8.116808,2.205115,-8.254546,3.049791
-8.254546,3.049791,-8.392285,3.894467
-8.254546,3.049791,-7.667165,3.036287
-8.116808,2.205115,-8.621174,5.025483
-7.979069,1.360439,-8.024232,1.556139
-7.338595,0.422681,-7.248451,0.088809
-6.835860,0.329600,-7.137364,0.304270
-5.277604,1.863765,-4.982147,2.532121
-4.222083,3.491012,-5.423063,-0.716269
-5.423063,-0.716269,-6.023553,-2.819910
-6.023553,-2.819910,-6.624042,-4.923551
-6.023553,-2.819910,-6.558180,-4.087802
-6.558180,-4.087802,-6.825493,-4.721747
-6.825493,-4.721747,-7.092807,-5.355693
-6.825493,-4.721747,-6.849879,-5.816523
-6.558180,-4.087802,-7.105653,-5.087054
-7.105653,-5.087054,-7.653127,-6.086306
-7.105653,-5.087054,-8.010804,-4.216132
-5.423063,-0.716269,-3.906846,-2.534410
-3.906846,-2.534410,-3.527792,-2.988945
-3.527792,-2.988945,-3.148738,-3.443480
-3.148738,-3.443480,-2.769683,-3.898015
-2.769683,-3.898015,-2.390629,-4.352550
-2.390629,-4.352550,-2.011575,-4.807085
-2.011575,-4.807085,-1.632521,-5.261620
-1.632521,-5.261620,-0.874413,-6.170690
-0.874413,-6.170690,-0.116304,-7.079760
-0.116304,-7.079760,0.641804,-7.988830
-0.116304,-7.079760,-0.272239,-7.471122
-0.272239,-7.471122,-0.428175,-7.862484
-0.272239,-7.471122,-0.690488,-7.546255
-0.690488,-7.546255,-1.108737,-7.621387
-0.690488,-7.546255,-0.898392,-8.183815
-0.898392,-8.183815,-1.106296,-8.821375
-0.898392,-8.183815,-0.318424,-8.778788
-0.318424,-8.778788,0.261544,-9.373760
-0.318424,-8.778788,-0.649739,-9.968261
-0.874413,-6.170690,-0.835902,-5.812860
-1.632521,-5.261620,-1.543669,-5.728286
-1.543669,-5.728286,-1.454817,-6.194952
-1.543669,-5.728286,-4.215522,-8.995331
-2.011575,-4.807085,-3.169958,-5.742058
-2.390629,-4.352550,-1.654432,-4.700423
-1.654432,-4.700423,-1.286334,-4.874359
-1.286334,-4.874359,-0.918235,-5.048296
-0.918235,-5.048296,0.554159,-5.744041
0.554159,-5.744041,2.026553,-6.439787
2.026553,-6.439787,3.498947,-7.135533
2.026553,-6.439787,3.187675,-5.948115
3.187675,-5.948115,3.768236,-5.702279
3.768236,-5.702279,4.348797,-5.456442
4.348797,-5.456442,5.509919,-4.964770
5.509919,-4.964770,6.671041,-4.473098
5.509919,-4.964770,6.270028,-6.396374
4.348797,-5.456442,4.778166,-4.814862
4.778166,-4.814862,5.207534,-4.173282
5.207534,-4.173282,6.066271,-2.890122
6.066271,-2.890122,6.495640,-2.248542
6.495640,-2.248542,6.925009,-1.606962
6.925009,-1.606962,7.139693,-1.286172
7.139693,-1.286172,7.354377,-0.965382
7.354377,-0.965382,7.783746,-0.323801
7.354377,-0.965382,8.566712,0.471165
8.566712,0.471165,9.779046,1.907712
8.566712,0.471165,8.566851,2.203742
7.139693,-1.286172,7.846614,-1.003143
6.925009,-1.606962,6.372597,-1.209835
6.372597,-1.209835,5.820185,-0.812708
6.372597,-1.209835,5.818672,0.062065
5.818672,0.062065,5.264748,1.333964
5.818672,0.062065,4.768066,0.692521
4.768066,0.692521,3.717460,1.322977
4.768066,0.692521,2.936796,1.990112
6.495640,-2.248542,6.984964,-2.886867
6.984964,-2.886867,7.474288,-3.525193
6.984964,-2.886867,8.893399,-4.372387
6.066271,-2.890122,5.647199,-2.680908
5.647199,-2.680908,5.437662,-2.576301
5.437662,-2.576301,5.228126,-2.471694
